"rider_type","end_station_name","number_of_rides"
"casual","Paulina St & 18th St",2116
"casual","Wabash Ave & Cermak Rd",2102
"casual","Kedzie Ave & Palmer Ct",2073
"casual","Ashland Ave & Augusta Blvd",2067
"casual","Clybourn Ave & Division St",2059
"casual","Clark St & 9th St (AMLI)",2041
"casual","Damen Ave & Grand Ave",2037
"casual","Racine Ave & Randolph St",2035
"casual","Wood St & Augusta Blvd",2015
"casual","Sedgwick St & Schiller St",2014
"casual","Green St & Randolph St",2003
"casual","Albany Ave & Bloomingdale Ave",1999
"casual","Ellis Ave & 58th St",1978
"casual","Damen Ave & Foster Ave",1964
"casual","Stave St & Armitage Ave",1956
"casual","Financial Pl & Ida B Wells Dr",1940
"casual","Damen Ave & Melrose Ave",1928
"casual","Larrabee St & Oak St",1841
"casual","Lincoln Ave & Waveland Ave",1835
"casual","Throop St & Taylor St",1833
"casual","Damen Ave & Leland Ave",1825
"casual","Damen Ave & Clybourn Ave",1814
"casual","Larrabee St & Menomonee St",1813
"casual","Central Park Ave & Bloomingdale Ave",1797
"casual","LaSalle St & Adams St",1795
"casual","Ashland Ave & Belle Plaine Ave",1772
"casual","Loomis St & Jackson Blvd",1766
"casual","Campbell Ave & Fullerton Ave",1751
"casual","Orleans St & Elm St",1749
"casual","Green St & Washington Blvd",1737
"casual","Glenwood Ave & Morse Ave",1717
"casual","Racine Ave & Washington Blvd",1715
"casual","California Ave & Altgeld St",1697
"casual","St. Louis Ave & Fullerton Ave",1668
"casual","Troy St & North Ave",1662
"casual","Damen Ave & Cullerton St",1658
"casual","Lincoln Ave & Addison St",1645
"casual","Halsted St & Roosevelt Rd",1617
"casual","Blackstone Ave & Hyde Park Blvd",1601
"casual","Milwaukee Ave & Fullerton Ave",1594
"casual","Wood St & Hubbard St",1590
"casual","Clark St & Ida B Wells Dr",1589
"casual","MLK Jr Dr & 29th St",1577
"casual","Elizabeth (May) St & Fulton St",1559
"casual","Buckingham Fountain (Temp)",1553
"casual","Central Park Ave & Elbridge Ave",1553
"casual","Elston Ave & Wabansia Ave",1545
"casual","Richmond St & Diversey Ave",1506
"casual","Leavitt St & Division St",1500
"casual","State St & 33rd St",1496
"casual","Chicago Ave & Washington St",1462
"casual","W Oakdale Ave & N Broadway",1462
"casual","Hampden Ct & Diversey Ave",1447
"casual","Kosciuszko Park",1444
"casual","Damen Ave & Madison St",1441
"casual","Damen Ave & Walnut (Lake) St",1434
"casual","Sheridan Rd & Argyle St",1427
"casual","Talman Ave & Addison St",1425
"casual","Ravenswood Ave & Berteau Ave",1424
"casual","Halsted St & 18th St",1415
"casual","Clark St & Elmdale Ave",1409
"casual","Paulina St & Montrose Ave",1406
"casual","Emerald Ave & 31st St",1394
"casual","Sheridan Rd & Columbia Ave",1376
"casual","Clinton St & Tilden St",1368
"casual","Winchester Ave & Elston Ave",1366
"casual","Lake Park Ave & 35th St",1361
"casual","Damen Ave & Sunnyside Ave",1349
"casual","Paulina St & Flournoy St",1345
"casual","Avers Ave & Belmont Ave",1331
"casual","Laflin St & Cullerton St",1329
"casual","Leavitt St & Addison St",1322
"casual","University Library (NU)",1322
"casual","California Ave & Montrose Ave",1314
"casual","Clinton St & 18th St",1308
"casual","Wells St & 19th St",1308
"casual","Western Ave & Roscoe St",1293
"casual","Morgan Ave & 14th Pl",1287
"casual","Racine Ave & Congress Pkwy",1262
"casual","Racine Ave & 15th St",1248
"casual","State St & 19th St",1245
"casual","Damen Ave & Wabansia Ave",1240
"casual","Troy St & Elston Ave",1212
"casual","May St & Cullerton St",1207
"casual","Ellis Ave & 53rd St",1202
"casual","Claremont Ave & Hirsch St",1192
